categories                                     ;code                                      ;description
Equipment & Magic, Items, Consumables          ;Starlight Shards                          ;An ephemeral sliver that gives off a pale blue glow. Use to gradually recover FP. A prized item that was once used in the Eternal City as an ingredient in intoxicating draughts.
Equipment & Magic, Items, Consumables          ;Soap                                      ;A plant-based soap made from mushroom juice. Cleans off filth and other accumulations on the body while also slightly reducing poison buildup. Filth covering the exterior eventually seeps inside, soiling one's very spirit.
Equipment & Magic, Items, Multiplayer Items    ;Grace Mimic                               ;A fetish indicating the guidance of grace. Craftable item. Similar to grace, this fetish draws rays guiding the way, only  without any sense of order. Useful as a last resort for those who have lost their way, or for use  by those who believe that unrefined guidance will lead to truer  encounters.
Equipment & Magic, Items, Consumables          ;Miquella's Needle                         ;One of the unalloyed gold needles that Miquella crafted to ward away the meddling of outer gods. Capable of subduing the flame of frenzy if inherited, allowing one to cheat fate and avoid becoming Lord of Frenzied Flame. However, the needle is as yet unfinished and can only be used in the heart of the storm beyond time said to be found in Faram  Azula.
Equipment & Magic, Items, Consumables          ;Pauper's Rune                             ;"Grace that dwells within the inhabitants of The Lands Between; the lingering residue of gold.  "
Equipment & Magic, Items, Consumables          ;Lands Between Rune                        ;"Grace said to have once dwelled in the eyes of the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 3000 runes. No grace resides in the eyes of the Tarnished; if it ever did, it is now lost. "
Equipment & Magic, Items, Consumables          ;Golden Rune (1)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering trace of gold. Use to gain 200 runes. Runes are nourishment for the development of any Tarnished. Provided a Finger Maiden can be found... "
Equipment & Magic, Items, Consumables          ;Golden Rune (2)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering trace of gold. Use to gain 400 runes. Runes are nourishment for the development of any Tarnished. Provided a Finger Maiden can be found... "
Equipment & Magic, Items, Consumables          ;Golden Rune (3)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering trace of gold. Use to gain 800 runes. Even now, runes are still imbued with the power of life itself. Do you see the Erdtree towering o'er? "
Equipment & Magic, Items, Consumables          ;Golden Rune (4)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering trace of gold. Use to gain 1200 runes. Even now, runes are still imbued with the power of life itself. Do you see the Erdtree towering o'er? "
Equipment & Magic, Items, Consumables          ;Golden Rune (5)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering trace of gold. Use to gain 1600 runes. Even now, runes are still imbued with the power of life itself. Do you see the Erdtree towering o'er? "
Equipment & Magic, Items, Consumables          ;Golden Rune (6)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 2000 runes. Those born at the foot of the Erdtree are blessed. At least, that is the enduring belief of the people of the plateau. "
Equipment & Magic, Items, Consumables          ;Golden Rune (7)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 2500 runes. Those born at the foot of the Erdtree are blessed. At least, that is the enduring belief of the people of the plateau. "
Equipment & Magic, Items, Consumables          ;Golden Rune (8)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 3000 runes. Those born at the foot of the Erdtree are blessed. At least, that is the enduring belief of the people of the plateau. "
Equipment & Magic, Items, Consumables          ;Golden Rune (9)                           ;"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 3800 runes. Those born at the foot of the Erdtree are blessed. At least, that is the enduring belief of the people of the plateau. "
Equipment & Magic, Items, Consumables          ;Golden Rune (10)                          ;"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 5000 runes. The grace of gold blessed those who were first to serve it with the most vivid coloration. "
Equipment & Magic, Items, Consumables          ;Golden Rune (11)                          ;"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 6250 runes. The grace of gold blessed those who were first to serve it with the most vivid coloration. "
Equipment & Magic, Items, Consumables          ;Golden Rune (12)                          ;"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 7500 runes. The grace of gold blessed those who were first to serve it with the most vivid coloration. "
Equipment & Magic, Items, Consumables          ;Golden Rune (13)                          ;"Grace that dwells within the inhabitants of the Lands Between; the lingering residue of gold. Use to gain 10000 runes. The grace of gold blessed those who were first to serve it with the most vivid coloration. "
